"county_fips","tract_id","imprv_pct_median","imprv_pct_stdev","count"
"01","433900",70.0,1.6,41
"01","434000",70.0,8.6,46
"01","435102",70.0,8.6,77
"01","435103",70.0,10.3,104
"01","435104",70.0,0.7,77
"01","435200",70.0,0.4,69
"01","435300",70.0,12.6,67
"01","435400",70.0,0.0,58
"01","435500",70.0,4.2,37
"01","435601",70.0,12.4,31
"01","435602",70.0,3.1,42
"01","435700",70.0,0.0,51
"01","435800",70.0,0.0,66
"01","435900",70.0,0.0,69
"01","436000",70.0,0.0,60
"01","436100",70.0,0.6,55
"01","436200",70.0,2.5,8
"01","436300",70.0,4.0,124
"01","436401",70.0,9.9,118
"01","436402",70.0,14.1,46
"01","436500",70.0,0.0,35
"01","436601",70.0,0.1,51
"01","436602",70.0,1.1,23
"01","436700",70.0,0.1,75
"01","436800",70.0,0.0,40
"01","436900",70.0,7.4,49
"01","437000",70.0,0.0,60
"01","437101",70.0,0.1,115
"01","437102",70.0,0.0,51
"01","437200",70.0,8.2,73
"01","437300",70.0,0.2,23
"01","437400",70.0,5.7,50
"01","437500",70.0,1.8,34
"01","437600",70.0,1.1,42
"01","437701",70.0,7.7,29
"01","437702",70.0,0.2,31
"01","437800",70.0,2.6,64
"01","437900",70.0,0.0,14
"01","438000",70.0,6.5,43
"01","438100",70.0,0.7,86
"01","438201",70.0,0.0,33
"01","438203",70.0,0.0,45
"01","438204",70.0,0.0,44
"01","438300",70.0,2.2,45
"01","438400",70.0,0.0,20
"01","440100",70.0,0.1,31
"01","440200",70.0,0.0,40
"01","440301",70.0,2.4,67
"01","440304",70.0,0.0,43
"01","440305",70.0,0.9,38
"01","440306",70.0,0.0,58
"01","440307",70.0,4.1,52
"01","440308",70.0,2.4,55
"01","440331",70.0,0.0,21
"01","440332",70.0,0.0,33
"01","440333",70.0,0.0,29
"01","440334",70.0,0.3,42
"01","440335",70.0,0.0,87
"01","440336",70.0,0.0,50
"01","441100",70.0,9.7,39
"01","441200",70.0,5.3,78
"01","441301",70.0,0.6,27
"01","441302",70.0,1.6,57
"01","441401",70.0,7.7,80
"01","441402",70.0,9.8,58
"01","441501",70.0,0.0,45
"01","441503",70.0,1.3,99
"01","441521",70.0,10.4,47
"01","441522",70.0,1.4,72
"01","441523",70.0,9.3,56
"01","441524",70.0,17.9,43
"01","441601",70.0,3.6,60
"01","441602",70.0,3.5,65
"01","441700",70.0,5.1,151
"01","441800",70.0,3.3,63
"01","441921",64.53,9.6,35
"01","441923",70.0,1.2,14
"01","441924",70.0,0.5,107
"01","441925",70.0,3.7,49
"01","441926",70.0,0.8,34
"01","441927",70.0,2.0,48
