"geo_id","Y","N","U"
"06013389200",69,189,1
"06013390100",784,150,0
"06013390200",658,116,0
"06013391000",859,164,3
"06013392000",937,141,1
"06013392200",2095,603,4
"06013392300",676,133,0
"06013420100",12,7,0
"06013420300",0,1,0
"06013421200",39,6,0
"06013421300",3,0,0
"06013450200",1,0,0
"06013450300",9,4,0
"06013451101",1,0,0
"06041101100",858,181,13
"06041101200",764,197,1
"06041102100",780,165,2
"06041102202",1564,389,1
"06041102203",758,509,6
"06041103100",2283,374,8
"06041103200",1408,479,7
"06041104101",2103,500,3
"06041104102",1057,631,8
"06041104200",1607,386,3
"06041104300",573,126,1
"06041105000",1221,198,3
"06041106001",697,268,12
"06041106002",1461,496,7
"06041107000",1959,365,24
"06041108100",2066,401,5
"06041108200",1488,333,4
"06041109001",646,283,3
"06041109002",1032,289,3
"06041110100",1286,432,5
"06041110200",1931,286,5
"06041111000",739,419,4
"06041112100",878,401,2
"06041112201",132,249,0
"06041112202",546,380,0
"06041113000",172,1206,10
"06041114100",1403,459,8
"06041114200",825,223,4
"06041115000",2180,414,11
"06041116000",846,262,5
"06041117000",1101,387,9
"06041118100",136,684,12
"06041119100",1284,311,4
"06041119201",527,352,11
"06041119202",1108,167,4
"06041120000",1614,444,15
"06041121100",1410,388,6
"06041121200",1279,529,4
"06041123000",593,279,7
"06041124100",1350,423,7
"06041124200",1480,608,14
"06041125000",852,245,6
"06041126100",1626,469,7
"06041126200",1125,380,3
"06041127000",1225,390,7
"06041128100",1977,436,9
"06041128200",1448,350,14
"06041129000",176,68,3
"06041130201",824,520,6
"06041130202",870,629,0
"06041131100",217,106,3
"06041132100",137,1155,25
"06041132200",70,915,11
"06041133000",216,945,31
"06041150702",1,0,0
"06055",22,0,13
"06055001300",2,0,1
"06055150100",0,1,0
"06055150500",0,1,0
"06055152600",1,0,0
"06055154100",1,0,0
"06055200201",569,392,0
"06055200202",266,332,0
"06055200203",379,220,0
"06055200301",852,368,39
"06055200302",626,195,4
"06055200400",937,439,1
"06055200501",699,511,16
"06055200503",171,319,0
"06055200504",928,525,1
"06055200505",259,194,1
"06055200601",1173,398,3
"06055200602",1019,445,2
"06055200703",1005,184,1
"06055200704",887,398,4
"06055200705",502,189,1
"06055200706",943,212,5
"06055200707",683,208,1
"06055200802",1021,665,2
"06055200803",562,144,3
"06055200804",735,405,2
"06055200900",1,0,0
"06055201003",883,156,2
"06055201004",1263,263,0
"06055201005",558,169,3
"06055201006",764,204,1
"06055201007",888,229,3
"06055201101",709,113,6
"06055201102",414,272,97
"06055201200",1226,384,8
"06055201300",460,410,6
"06055201401",969,875,11
"06055201402",799,226,5
"06055201403",190,109,14
"06055201500",275,354,23
"06055201601",345,278,3
"06055201602",764,542,5
"06055201700",635,697,26
"06055201800",374,414,30
"06055201900",191,285,15
"06055202000",690,592,6
"06075010100",331,368,18
"06075010200",650,2607,3
"06075010300",316,522,2
"06075010400",407,701,2
"06075010500",323,247,0
"06075010600",77,273,0
"06075010700",53,177,2
"06075010800",368,586,1
"06075010900",332,467,0
"06075011000",331,437,18
"06075011100",189,331,0
"06075011200",426,397,3
"06075011300",100,160,0
"06075011700",91,230,1
"06075011800",8,37,0
"06075011901",335,330,1
"06075011902",232,2010,2
"06075012000",46,81,0
"06075012100",107,129,0
"06075012201",159,140,1
"06075012202",42,136,1
"06075012301",1,18,0
"06075012302",7,2416,2
"06075012401",5,58,1
"06075012402",128,105,18
