geo_id,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
06001409000,2,4,5,2,2,1,0,6,3,4,8,9,6,6,7,4,13,13,7,3,4,9,13,8,6,1,4
06001409100,0,3,2,0,0,1,2,4,3,2,2,3,6,5,5,3,10,11,8,3,3,12,12,6,5,3,1
06001409200,1,2,4,1,2,0,4,3,7,2,0,9,9,6,7,8,10,13,17,4,5,4,9,9,9,8,4
06001409300,0,5,6,4,2,0,7,3,9,12,2,7,9,6,11,15,10,16,11,6,5,14,14,11,10,11,4
06001409400,1,2,7,2,3,3,2,3,3,9,5,10,15,17,10,14,16,20,10,4,9,19,8,10,5,12,2
06001409500,1,3,4,8,2,4,6,2,3,3,7,6,14,8,8,17,10,18,15,4,5,12,10,8,7,6,3
06001409600,2,4,11,4,3,1,6,5,4,11,14,15,12,10,16,18,25,34,25,5,7,15,11,11,6,5,4
06001409700,1,11,4,8,2,4,7,9,8,9,10,9,14,14,8,6,11,21,14,5,5,16,16,21,5,7,3
06001409800,6,3,7,4,3,6,4,2,2,11,9,9,10,9,5,5,9,7,8,1,5,6,4,10,11,12,5
06001409900,3,4,5,5,1,3,4,2,4,3,2,4,4,2,3,5,6,6,6,2,6,6,7,5,8,11,1
06001410000,0,2,6,4,5,3,2,0,1,4,7,3,1,6,4,5,6,4,2,2,1,6,3,9,3,6,0
06001410100,2,6,5,3,7,1,2,0,4,7,8,0,6,4,1,9,10,11,14,4,6,7,14,8,6,8,3
06001410200,3,4,8,0,2,1,5,2,3,6,7,8,7,5,8,6,9,17,9,3,4,9,8,15,7,8,4
06001410300,1,4,4,5,1,3,4,4,6,7,10,5,10,5,8,8,10,15,8,3,5,8,11,8,4,4,3
06001410400,2,2,8,2,3,1,4,2,5,5,9,8,12,12,10,9,14,20,13,5,5,16,10,16,9,6,5
06001410500,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,4,1,2,0,1,0,3,2,0,0,0
06001420100,0,3,3,2,1,0,1,1,0,3,6,3,1,3,3,2,0,0,2,0,0,0,2,0,0,0,0
06001420200,1,0,4,3,2,1,1,2,1,0,1,2,0,0,2,2,0,1,1,1,0,1,0,0,2,2,1
06001420300,5,8,12,8,3,2,2,2,1,3,7,8,9,11,6,5,7,6,3,2,2,2,5,3,2,3,3
06001420500,2,6,5,1,7,0,2,1,0,3,3,1,1,1,0,1,2,1,4,3,0,0,0,0,2,1,0
06001420600,4,3,5,1,3,0,2,1,0,4,1,3,2,0,3,0,0,1,3,1,1,1,1,1,1,0,1
06001421100,2,2,4,2,3,1,0,0,1,1,4,2,2,2,2,4,1,3,1,0,2,1,1,1,2,0,1
06001421200,0,4,5,4,4,1,1,2,6,4,1,3,3,0,5,4,2,4,2,3,1,3,0,2,1,3,0
06001421300,2,3,2,5,3,1,3,2,3,5,2,4,1,1,1,1,3,2,4,4,3,0,3,1,4,0,0
06001421400,2,2,1,0,0,1,0,1,1,1,2,1,1,2,0,2,0,1,0,1,0,0,0,0,1,0,0
06001421500,1,1,6,2,4,5,1,4,3,1,5,2,5,2,2,4,2,4,1,2,1,1,1,3,0,2,2
06001421600,1,4,2,2,4,0,0,1,1,1,4,2,1,2,2,3,3,6,3,2,0,3,3,2,2,1,1
06001421700,0,3,1,1,2,1,5,0,1,2,2,5,1,2,1,1,2,2,0,1,0,4,0,1,1,0,0
06001421800,0,2,2,1,2,1,3,1,1,1,3,1,1,4,0,3,1,3,1,2,1,0,1,0,1,0,0
06001421900,3,5,10,8,5,3,4,3,3,4,4,4,4,4,1,4,3,2,4,3,4,3,3,2,2,2,1
06001422000,0,0,4,0,1,7,3,0,0,1,2,3,1,0,2,0,2,2,3,0,0,0,1,1,0,1,0
06001422100,0,8,1,2,1,1,2,3,3,2,4,6,4,2,3,2,3,4,2,1,2,2,1,0,4,3,3
06001422200,0,3,5,0,4,1,2,3,0,1,8,5,1,3,1,1,4,4,4,3,1,0,2,2,5,3,0
06001422300,3,6,0,4,2,1,1,1,1,2,1,0,0,0,1,3,2,0,0,1,0,0,1,0,1,0,0
06001422400,3,4,3,3,3,1,2,2,8,1,0,2,0,2,0,0,2,2,0,1,1,0,0,2,1,0,1
06001422500,3,4,2,5,5,2,3,2,1,1,1,1,2,5,1,1,3,3,0,0,0,0,0,0,0,0,0
06001422600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001422700,0,1,0,3,0,1,0,0,1,0,1,2,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0
06001422800,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
06001422900,0,2,2,1,0,0,2,0,1,0,1,2,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0
06001423000,1,1,3,8,0,0,1,0,2,4,3,3,4,2,1,3,5,1,3,0,1,1,0,2,0,1,0
06001423100,2,7,2,4,2,1,2,4,3,3,5,7,1,7,6,4,6,5,5,2,1,3,3,0,4,2,2
06001423200,0,6,5,3,1,0,2,2,1,0,1,5,3,2,3,6,3,3,1,1,0,4,6,3,7,2,1
06001423300,2,7,3,4,1,2,4,2,2,2,7,6,8,5,3,5,7,13,11,6,2,6,6,9,9,4,4
06001423400,1,4,4,6,5,1,0,3,4,2,8,6,2,3,9,8,3,5,4,3,4,4,8,9,0,2,1
06001423500,0,5,2,3,1,1,0,1,2,2,3,0,0,1,2,1,2,1,0,1,0,0,1,3,0,0,0
06001423601,0,5,4,3,6,0,1,1,2,4,0,2,0,1,1,3,3,0,0,1,0,0,2,0,2,0,0
06001423602,0,5,8,3,1,1,5,0,1,1,4,1,0,1,0,4,1,1,0,0,0,0,1,0,1,1,0
06001423700,0,2,5,2,1,1,0,1,1,1,2,3,1,1,0,3,5,0,1,1,0,1,0,1,0,0,0
06001423800,0,1,2,0,5,6,0,2,5,4,8,4,4,0,3,2,0,3,0,1,1,0,1,2,0,1,0
06001423901,0,2,2,3,1,0,1,3,0,2,2,1,2,0,0,1,0,1,0,1,1,1,1,2,3,1,0
06001423902,0,3,3,3,1,0,1,1,0,0,1,2,1,0,2,0,2,0,0,1,0,0,0,1,0,2,0
06001424001,1,2,4,1,5,4,2,3,1,5,7,6,3,6,6,6,2,6,6,4,7,5,2,6,7,2,0
06001424002,2,2,2,3,1,0,0,4,1,4,4,4,5,8,1,0,2,4,5,0,1,3,3,3,6,6,2
06001425101,7,15,16,13,8,4,1,2,0,4,5,8,14,6,6,9,11,6,5,3,2,3,4,2,2,0,2
06001425102,7,17,19,11,7,2,2,0,1,3,5,6,5,1,3,5,9,6,3,4,3,4,4,3,6,6,3
