"geo_id","2004_blank","2004_A","2004_C","2004_I","2004_M","2004_R","2004_V","2005_blank","2005_A","2005_C","2005_I","2005_M","2005_R","2005_V","2006_blank","2006_A","2006_C","2006_I","2006_M","2006_R","2006_V","2007_blank","2007_A","2007_C","2007_I","2007_M","2007_R","2007_V","2008_blank","2008_A","2008_C","2008_I","2008_M","2008_R","2008_V","2009_blank","2009_A","2009_C","2009_I","2009_M","2009_R","2009_V","2010_blank","2010_A","2010_C","2010_I","2010_M","2010_R","2010_V","2011_blank","2011_A","2011_C","2011_I","2011_M","2011_R","2011_V","2012_blank","2012_A","2012_C","2012_I","2012_M","2012_R","2012_V","2013_blank","2013_A","2013_C","2013_I","2013_M","2013_R","2013_V","2014_blank","2014_A","2014_C","2014_I","2014_M","2014_R","2014_V"
"06097151310",1131,0,0,0,0,4,0,1171,0,0,0,0,0,0,222,0,16,1,33,892,7,0,0,17,1,33,1103,7,0,0,17,1,33,1113,7,0,0,17,1,33,1113,7,10,0,17,1,33,1099,7,0,0,17,1,33,1113,7,0,0,29,1,33,1101,7,0,0,29,1,33,1101,7,0,0,0,0,0,0,0
"06097151311",2031,0,0,0,0,5,0,2077,0,0,0,0,0,0,387,2,10,3,38,1540,98,0,4,10,4,38,1908,98,1,4,10,3,39,1922,104,1,4,10,3,39,1922,104,17,4,10,3,39,1897,104,1,4,10,3,39,1922,104,1,4,22,2,37,1939,83,0,4,22,1,37,1948,71,0,0,0,0,0,0,0
"06097151401",1282,0,0,0,0,4,1,1351,0,0,0,0,0,0,387,27,26,7,74,946,283,0,37,32,9,72,1450,336,0,38,33,9,78,1468,434,147,38,33,9,78,1468,434,160,37,33,8,78,1447,434,153,38,33,9,78,1468,434,7,24,78,7,55,1659,395,4,21,81,6,57,1721,405,0,0,0,0,0,0,0
"06097151402",1874,0,0,0,0,2,0,1929,0,0,0,0,0,0,302,17,700,88,38,691,196,8,17,724,96,37,1133,125,14,17,729,96,38,1196,126,26,17,729,96,38,1196,126,53,17,727,94,38,1176,125,41,17,729,96,38,1196,126,11,18,210,76,40,1757,146,9,18,213,76,40,1763,145,0,0,0,0,0,0,0
"06097151502",2512,0,0,0,0,3,0,2540,0,0,0,0,0,0,377,51,42,1,53,1903,113,0,58,46,1,55,2242,118,1,59,47,1,55,2262,118,4,59,47,1,55,2261,118,26,58,45,1,54,2232,114,8,59,47,1,55,2262,118,1,70,112,1,55,2196,124,0,66,112,1,55,2205,118,0,0,0,0,0,0,0
"06097151503",1511,0,0,0,0,2,0,1543,0,0,0,0,0,0,225,16,0,1,38,1226,38,0,21,0,1,37,1441,52,0,23,0,1,38,1448,52,0,23,0,1,38,1448,52,19,23,0,1,37,1427,52,4,23,0,1,38,1448,52,0,24,37,1,39,1424,42,0,23,37,1,38,1429,42,0,0,0,0,0,0,0
"06097151504",1352,0,0,0,0,0,0,1392,0,0,0,0,0,0,217,0,22,0,24,1123,6,0,0,22,0,24,1336,6,0,0,22,0,24,1340,6,0,0,22,0,24,1340,6,10,0,22,0,24,1324,6,0,0,22,0,24,1340,6,1,0,35,0,24,1328,5,0,0,35,0,24,1329,4,0,0,0,0,0,0,0
"06097151601",1931,0,0,0,0,4,0,2020,0,0,0,0,0,0,271,85,8,2,95,1424,303,0,94,10,2,95,1667,306,1,94,10,2,97,1681,306,1,94,10,2,97,1681,306,18,88,9,2,84,1666,304,1,94,10,2,97,1681,306,1,90,42,2,100,1697,266,0,87,42,2,100,1748,218,0,0,0,0,0,0,0
"06097151602",2119,0,0,0,0,3,0,2183,0,0,0,0,0,0,285,34,8,2,56,1741,57,0,39,9,2,58,1991,68,1,39,9,2,58,2005,70,7,39,9,2,58,2005,70,23,39,9,2,51,1983,69,9,39,9,2,58,2005,70,2,44,66,2,58,1951,72,2,41,64,2,59,1958,71,0,0,0,0,0,0,0
"06097151700",1716,0,0,0,0,4,0,1779,0,0,0,0,0,0,276,0,62,3,45,1360,33,0,0,70,3,42,1617,36,0,0,70,3,46,1625,38,2,0,70,3,46,1625,38,15,0,70,3,46,1604,38,3,0,70,3,46,1625,38,1,0,88,3,46,1620,38,3,0,85,3,46,1616,40,0,0,0,0,0,0,0
