"geo_id","sqft_median","sqft_count","rooms_median","rooms_count","bedrms_median","bedrms_count","sqft_median_2012_sales","sqft_count_2012_sales","rooms_median_2012_sales","rooms_count_2012_sales","bedrms_median_2012_sales","bedrms_count_2012_sales"
"06013337300",1968.0,2027,9.0,2027,4.0,2026,1966.5,64,9.0,64,4.0,64
"06013338101",1086.0,1217,6.0,1214,3.0,1198,1086.0,77,6.0,77,3.0,76
"06013338102",1616.0,1367,9.0,1367,4.0,1367,1574.0,63,8.0,63,4.0,63
"06013338201",2052.0,1500,9.0,1479,4.0,1427,1967.5,74,8.5,74,4.0,61
"06013338203",1168.0,1734,6.0,1733,2.0,1714,1144.0,96,5.0,96,2.0,96
"06013338204",1457.0,2630,7.0,2630,2.0,2619,1232.0,129,6.0,129,2.0,128
"06013338301",2291.0,1057,10.0,1057,4.0,1057,2245.0,35,10.0,35,4.0,35
"06013338302",2052.0,2115,9.0,2071,4.0,2046,2032.0,89,9.0,89,4.0,87
"06013339001",1004.0,324,5.0,322,2.0,278,885.0,27,4.0,27,1.0,22
"06013339002",1077.0,1946,5.0,1927,2.0,1782,893.0,91,5.0,90,2.0,89
"06013340001",1558.5,1818,7.0,1818,3.0,1752,1449.0,89,7.0,89,3.0,86
"06013340002",1771.0,2854,8.0,2851,3.0,2832,1747.0,115,8.0,114,3.0,111
"06013341000",1692.0,1703,7.0,1702,3.0,1685,1618.5,74,7.0,74,3.0,74
"06013343001",1820.0,1562,7.0,1547,3.0,1497,1799.0,66,7.0,66,3.0,64
"06013343002",1722.0,1621,8.0,1610,3.0,1582,1523.5,64,8.0,63,3.0,61
"06013343003",2279.0,1369,9.0,1368,4.0,1350,2265.0,47,9.0,47,4.0,47
"06013345101",1648.0,1926,8.0,1926,3.0,1910,1550.0,105,7.0,105,3.0,105
"06013345102",1584.0,1377,8.0,1377,4.0,1377,1533.0,43,9.0,43,4.0,43
"06013345103",2013.0,1737,9.0,1737,4.0,1736,1988.0,69,9.0,69,4.0,69
"06013345105",1968.0,2160,9.0,2160,4.0,2159,1840.0,115,9.0,115,4.0,115
"06013345108",1851.0,3351,8.0,3320,3.0,3287,1250.0,234,6.0,233,2.0,233
"06013345111",1842.0,1706,8.0,1706,3.0,1704,1422.5,86,6.0,86,2.0,86
"06013345112",2717.0,1486,10.0,1486,4.0,1465,2858.0,90,10.0,90,4.0,90
"06013345113",2523.0,1521,10.0,1517,4.0,1514,2484.0,65,9.0,65,4.0,65
"06013345114",2023.0,2619,10.0,2618,4.0,2617,1958.5,138,9.0,138,3.0,138
"06013345115",2434.0,1723,10.0,1717,4.0,1712,2437.0,85,10.0,85,4.0,85
"06013345116",1965.0,949,9.0,950,4.0,949,1880.0,37,9.0,37,4.0,37
"06013345202",1753.0,2341,8.0,2254,3.0,2227,1478.0,142,7.0,125,3.0,122
"06013345203",2136.0,2353,9.0,2323,3.0,2294,2045.0,118,9.0,117,4.0,114
"06013345204",2831.0,1258,10.0,1256,4.0,1252,3029.0,67,10.0,67,4.0,67
"06013346101",2239.0,1324,10.0,1324,4.0,1324,2348.5,42,10.0,42,4.0,42
"06013346102",3269.0,2043,11.0,2042,4.0,2042,3428.5,102,11.0,102,4.0,102
"06013346201",2830.0,2558,10.0,2552,4.0,2547,2971.5,124,11.0,124,4.0,124
"06013346203",2237.0,1447,10.0,1447,4.0,1447,2243.0,50,10.0,50,4.0,50
"06013346204",2686.0,2476,10.0,2473,4.0,2471,2749.0,133,10.0,133,4.0,133
"06013347000",2524.0,2182,10.0,2181,4.0,2162,2722.0,94,10.5,94,4.0,93
"06013348000",2658.0,1650,10.0,1643,4.0,1641,2724.0,68,9.0,67,3.0,67
"06013349000",1948.0,1391,8.0,1381,3.0,1349,1927.0,59,8.0,59,3.0,57
"06013350000",2226.0,1626,9.0,1623,4.0,1491,2060.0,54,8.0,54,3.0,53
"06013351101",1272.0,2151,6.0,2151,2.0,2151,1474.0,133,7.0,133,2.0,133
"06013351102",1054.0,3022,6.0,3022,2.0,3022,1138.0,101,6.0,101,2.0,101
"06013351103",1527.0,1500,7.0,1500,2.0,1500,1527.0,92,7.0,92,2.0,92
"06013351200",2072.5,2060,9.0,2059,4.0,2059,1927.0,65,8.0,65,4.0,65
"06013352101",2417.0,867,10.0,838,4.0,825,2269.0,37,10.0,37,4.0,35
"06013352102",2170.0,1872,9.0,1855,4.0,1850,2241.0,71,10.0,69,4.0,69
"06013352201",2037.5,2012,8.0,2011,3.0,1975,2093.0,78,9.0,78,4.0,75
"06013352202",1842.0,1009,8.0,1007,3.0,1006,1842.0,59,8.0,58,3.0,58
"06013353001",2300.0,1318,9.0,1317,3.0,1317,2381.0,57,8.0,57,3.0,57
"06013353002",2395.0,1508,9.0,1508,4.0,1508,2648.5,50,9.5,50,4.0,50
"06013354001",2002.5,716,8.0,715,3.0,715,2116.0,28,8.0,28,3.0,28
"06013354002",2850.5,2454,10.0,2451,4.0,2449,2628.0,98,9.0,98,3.0,98
"06013355107",2044.0,1571,10.0,1551,4.0,1533,2255.0,105,10.0,104,4.0,104
"06013355108",2501.0,3699,10.0,3699,4.0,3698,2287.5,266,9.0,266,4.0,266
"06013355109",2241.0,2107,9.0,2099,4.0,2098,2330.0,118,9.0,117,4.0,117
"06013355110",1813.0,1251,8.0,1251,4.0,1251,1846.0,99,8.0,99,4.0,99
"06013355111",2053.0,1939,9.0,1939,4.0,1938,2110.0,130,9.0,130,4.0,130
"06013355112",3235.0,1936,11.0,1752,4.0,1650,3097.0,75,11.0,71,4.0,69
"06013355113",3278.0,1726,10.0,1721,4.0,1721,3237.0,92,10.0,92,4.0,92
"06013355114",2543.0,3442,10.0,3419,4.0,3395,2657.0,195,10.0,194,4.0,194
"06013355115",2180.0,1093,8.0,1093,3.0,1088,2346.0,148,8.0,148,4.0,148
"06013355116",2993.0,2003,11.0,1988,4.0,1982,2810.0,141,11.0,141,4.0,141
"06013355117",2866.0,1957,10.0,1957,4.0,1957,2959.5,106,10.0,106,4.0,106
"06013355200",2234.0,2197,10.0,2197,4.0,2196,2506.0,281,10.0,281,4.0,281
"06013355301",1763.0,2836,9.0,2835,4.0,2835,1633.0,143,9.0,143,4.0,143
"06013355302",2542.0,1211,10.0,1199,4.0,1195,2538.0,35,10.0,35,4.0,35
"06013355304",1904.0,3023,9.0,3021,3.0,3020,1749.0,147,8.0,147,3.0,147
"06013355306",2100.0,1794,10.0,1751,4.0,1722,2177.0,99,10.0,98,4.0,96
"06013356001",1407.0,1122,8.0,1122,4.0,1121,1405.0,43,8.0,43,4.0,43
"06013356002",2042.0,1926,9.0,1874,3.0,1827,1722.0,97,7.0,95,3.0,93
"06013357000",1617.0,1077,7.0,1072,3.0,1021,1448.0,40,6.5,40,3.0,38
"06013358000",1448.0,1430,7.0,1415,3.0,1354,1425.5,62,7.0,62,3.0,61
"06013359102",1476.0,1551,7.0,1547,3.0,1492,1479.0,71,7.0,71,3.0,67
"06013359103",1426.0,1574,7.0,1558,3.0,1520,1316.0,73,7.0,73,3.0,73
"06013359104",1251.0,976,6.0,976,2.0,976,1126.0,69,6.0,69,2.0,69
"06013359105",1798.0,1559,8.0,1558,3.0,1543,1792.0,125,7.0,125,3.0,125
"06013359202",1617.0,2233,8.0,2233,3.0,2231,1504.0,80,8.0,80,3.0,80
"06013359203",1581.0,2282,8.0,2282,3.0,2280,1439.0,121,8.0,121,3.0,121
"06013359204",1963.0,1424,9.0,1424,4.0,1423,1855.0,44,9.0,44,4.0,44
"06013360101",1630.0,1631,8.0,1631,3.0,1624,1582.5,84,7.5,84,3.0,84
"06013360102",2167.0,1541,10.0,1541,4.0,1541,2239.0,52,10.0,52,3.0,52
"06013360200",1499.5,1364,6.0,1361,3.0,1323,1512.0,59,7.0,59,3.0,57
"06013361000",1459.0,1467,7.0,1465,3.0,1440,1245.0,53,6.0,53,3.0,53
"06013362000",1455.0,1147,6.0,1146,3.0,1141,1388.0,49,6.0,49,3.0,49
"06013363000",1421.0,2239,7.0,2233,3.0,2191,1400.0,116,7.0,116,3.0,116
"06013364002",1235.0,1588,6.0,1588,3.0,1587,1188.0,57,6.0,57,3.0,57
"06013365002",1400.0,1139,7.0,1125,3.0,1083,1424.0,80,7.0,79,3.0,79
"06013365003",1587.0,768,7.0,769,3.0,759,1481.5,62,7.0,62,3.0,61
"06013366001",1104.0,1103,6.0,1101,3.0,1058,1101.5,58,6.0,58,3.0,54
"06013366002",1121.0,1355,6.0,1352,3.0,1293,1122.5,80,6.0,80,3.0,77
"06013367100",1296.0,1261,6.0,1261,3.0,1254,1165.0,62,6.0,62,3.0,62
"06013367200",1112.0,1240,7.0,1240,3.0,1225,1139.0,80,7.0,80,3.0,79
"06013368001",1108.0,1021,6.0,1011,3.0,932,1238.0,59,6.0,59,3.0,55
"06013368002",1062.0,707,5.0,705,3.0,667,1056.0,45,5.0,45,3.0,44
"06013369001",1139.0,1118,6.0,1102,2.0,1001,1136.0,49,6.0,48,2.0,46
"06013369002",1386.0,836,6.0,834,3.0,794,1435.5,38,7.0,38,3.0,35
