"geo_id","","A","C","I","M","R","V","ADAI","AFAR","ALIV","AMSC","AORC","APAS","APOU","ATIM","AVIN","CAUT","CCEM","CCOM","CDEP","CEAT","CFIN","CFOO","CHOS","CHOT","CLAU","CMED","CMOB","CMSC","CNUR","COFF","CPAR","CSER","CSHO","CSTO","CVET","IFOO","IHEA","ILIG","ILUM","IMIN","IMSC","IPET","IPUB","IWAR","IWIN","MBOW","MCLU","MCMN","MGOL","MGOV","MMAR","MMSC","MNAT","MREC","MREL","MROA","MSCH","MTHE","MTRA","MUTI","RAPT","RCON","RCOO","RDUP","RMFD","RMOB","RMSC","RQUA","RSFR","RTIM","RTRI","VAGR","VCOM","VIND","VMSC","VRES","VWAS"
"06097152702",13,62,174,123,62,1237,113,1,2,1,0,2,11,0,0,45,5,1,3,0,2,0,0,6,1,0,2,1,43,1,88,2,10,3,5,1,1,1,72,4,0,5,0,0,38,2,0,1,0,1,17,0,1,0,1,0,14,16,1,2,8,15,81,0,50,1,36,120,5,926,0,3,0,28,50,20,14,1
"06097152801",3,16,89,61,29,1832,74,0,1,0,0,2,2,0,0,11,2,0,2,1,12,0,3,3,4,0,1,1,17,2,7,2,10,6,16,0,1,0,18,1,0,2,0,4,34,1,0,1,0,0,7,0,9,0,1,1,9,1,0,0,0,3,50,0,27,0,74,1,1,1675,0,1,0,11,3,2,58,0
"06097152802",1,0,124,40,41,976,19,0,0,0,0,0,0,0,0,0,0,0,1,1,8,4,1,4,3,0,1,1,12,0,42,5,28,2,10,1,1,0,5,0,0,0,0,2,32,0,0,1,0,0,6,0,18,0,2,2,6,3,2,0,1,36,439,0,89,0,51,2,21,327,0,11,0,4,4,0,11,0
"06097152903",0,2,17,0,34,1109,17,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,8,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,1,1,4,6,0,0,1,6,203,0,74,0,1,63,27,733,0,2,0,0,1,1,15,0
"06097152904",2,0,18,0,30,1810,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,1,5,2,0,0,0,1,396,0,54,0,1,32,1,1325,0,0,0,0,0,1,48,0
"06097152905",1,0,6,1,14,1173,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,3,0,2,0,0,0,0,4,29,0,16,0,224,75,0,824,0,1,0,1,0,1,6,0
"06097152906",1,170,34,12,43,1571,184,1,2,2,0,1,40,3,0,121,1,1,0,0,3,1,1,1,0,0,0,0,17,6,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,9,0,1,0,0,6,0,11,0,2,2,17,4,0,0,0,4,0,0,81,0,11,122,0,1335,0,18,0,2,0,69,112,1
"06097153001",1,0,134,39,40,1222,58,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,2,1,0,2,0,27,0,66,4,13,5,8,0,2,1,8,0,0,0,0,0,28,0,0,1,0,0,9,0,10,0,1,1,6,8,0,2,2,28,102,0,132,0,3,35,15,898,0,9,0,12,9,5,32,0
"06097153002",1,0,126,38,49,1719,41,0,0,0,0,0,0,0,0,0,1,0,7,0,8,0,0,0,3,0,1,2,29,0,11,8,26,2,28,0,1,0,6,1,0,3,0,0,26,1,0,2,0,0,11,0,14,0,4,2,12,3,0,0,1,14,466,0,104,0,66,100,16,935,0,18,0,9,9,4,19,0
"06097153003",3,3,32,5,19,1391,16,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,13,1,0,1,5,8,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,7,0,4,0,2,3,1,2,0,0,0,6,403,0,34,0,130,3,20,791,0,4,0,4,2,6,4,0
"06097153005",2,83,58,4,83,2104,65,9,8,2,0,0,19,0,0,45,1,1,0,0,1,0,0,5,0,0,1,1,38,3,1,0,3,2,0,1,0,0,1,0,0,0,0,0,0,3,0,3,1,0,15,0,27,0,2,4,4,3,0,0,24,2,162,0,11,0,79,9,1,1840,0,0,0,2,0,9,52,2
"06097153006",4,0,69,1,39,2350,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,55,0,6,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,12,0,1,0,3,0,0,0,5,8,134,0,25,0,488,10,0,1684,0,1,0,0,0,2,11,0
"06097153102",0,0,12,4,16,981,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,0,1,8,0,0,0,0,16,10,0,114,0,2,31,25,767,0,16,0,0,0,10,8,0
"06097153103",0,0,10,0,30,909,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,1,1,11,2,0,0,0,12,0,0,98,0,2,2,13,774,0,8,0,1,0,11,19,0
