"geo_id","res_imprv_pct_median","res_imprv_pct_stdev","res_count","com_imprv_pct_median","com_imprv_pct_stdev","com_count"
"06013308002",83.67,6.2,126,"","",0
"06013309000",86.66,10.1,49,54.44,0.4,2
"06013310000",70.73,14.2,91,77.68,0.0,1
"06013311000",65.21,14.9,81,"","",0
"06013312000",74.11,11.6,33,85.11,0.0,1
"06013313101",72.47,11.9,78,57.14,10.3,3
"06013313102",81.56,11.9,64,66.34,0.0,1
"06013313103",79.66,9.7,161,"","",0
"06013313203",65.71,8.2,57,"","",0
"06013313204",64.35,13.2,65,"","",0
"06013313205",62.02,7.1,32,"","",0
"06013313206",55.55,11.1,73,62.98,0.0,1
"06013314102",70.58,11.2,67,"","",0
"06013314103",68.75,11.4,63,65.33,0.0,1
"06013314104",65.47,17.3,96,70.4,1.0,2
"06013314200",51.96,14.6,62,"","",0
"06013315000",75.6,9.1,72,"","",0
"06013316000",81.81,22.3,9,47.08,0.0,1
"06013317000",46.81,21.6,25,"","",0
"06013318000",31.97,17.7,50,"","",0
"06013319000",32.87,18.4,114,32.63,23.5,2
"06013320001",38.46,14.1,60,"","",0
"06013320003",52.78,8.1,56,"","",0
"06013320004",53.17,13.9,144,"","",0
"06013321101",38.23,17.0,119,"","",0
"06013321102",47.67,16.3,129,"","",0
"06013321103",30.43,14.7,57,"","",0
"06013321200",50.35,15.6,67,64.11,21.6,3
"06013322000",33.33,17.3,117,67.61,0.0,1
"06013323000",28.86,18.7,72,"","",0
"06013324001",46.91,23.2,42,86.5,18.6,3
"06013324002",38.59,22.3,51,"","",0
"06013325000",28.57,15.8,79,62.67,0.0,1
"06013326000",28.09,13.8,52,"","",0
"06013327000",49.4,27.6,102,58.67,21.3,2
"06013328000",71.66,21.7,7,64.6,28.6,7
"06013329000",37.03,13.8,99,20.7,19.6,2
"06013330000",38.32,12.6,108,"","",0
"06013331000",42.85,18.8,96,"","",0
"06013332000",38.38,13.9,119,"","",0
"06013333101",46.91,17.7,70,60.0,0.0,1
"06013333102",54.21,16.5,77,"","",0
"06013333200",42.16,13.1,81,"","",0
"06013334001",31.95,18.6,60,"","",0
"06013334004",63.41,17.4,147,"","",0
"06013334006",43.89,16.3,55,"","",0
"06013334200",28.8,16.9,120,"","",0
"06013335000",28.86,14.1,48,74.92,0.0,1
"06013336101",75.6,18.6,25,59.76,7.7,2
"06013336102",74.73,15.1,72,"","",0
"06013336201",45.65,15.9,45,"","",0
"06013336202",58.0,12.6,40,64.72,0.0,1
"06013337100",54.69,15.4,50,"","",0
"06013337200",45.67,15.8,107,35.79,0.0,1
"06013337300",44.88,16.1,64,"","",0
"06013338101",57.14,17.8,77,44.27,0.0,1
"06013338102",37.5,14.7,63,63.47,0.0,1
"06013338201",49.86,19.1,74,46.73,0.0,1
"06013338203",46.63,14.0,96,"","",0
"06013338204",38.46,12.5,129,"","",0
"06013338301",20.83,9.3,35,66.84,0.0,1
"06013338302",26.66,11.9,89,"","",0
"06013339001",51.5,13.4,27,29.36,28.0,4
"06013339002",41.34,11.8,91,43.66,23.2,5
"06013340001",35.66,19.7,89,73.4,0.0,1
"06013340002",30.0,15.3,115,"","",0
"06013341000",30.73,17.3,74,17.47,0.0,1
"06013343001",29.09,14.1,66,"","",0
"06013343002",31.48,14.4,64,"","",0
"06013343003",28.16,15.4,47,"","",0
"06013345101",27.27,11.5,105,"","",0
"06013345102",24.52,7.5,43,"","",0
"06013345103",34.95,10.5,69,"","",0
"06013345105",26.02,10.0,115,59.73,0.6,2
"06013345108",42.85,9.1,234,76.59,13.8,14
"06013345111",43.95,8.6,86,"","",0
"06013345112",46.63,8.0,90,"","",0
"06013345113",39.47,9.9,65,"","",0
"06013345114",30.82,12.3,139,"","",0
"06013345115",44.8,12.6,85,"","",0
"06013345116",37.1,12.0,37,"","",0
"06013345202",41.48,15.0,142,61.53,14.2,3
"06013345203",31.62,15.3,118,43.01,29.7,2
"06013345204",36.0,18.5,67,"","",0
"06013346101",34.0,17.0,42,"","",0
"06013346102",41.92,13.2,102,"","",0
"06013346201",38.49,16.4,124,"","",0
"06013346203",25.87,9.2,50,"","",0
"06013346204",36.4,11.4,133,"","",0
"06013347000",34.45,13.0,94,"","",0
"06013348000",25.15,16.2,68,"","",0
"06013349000",20.19,13.7,59,51.69,5.5,2
"06013350000",26.2,13.8,54,69.88,4.7,2
"06013351101",57.02,10.5,133,"","",0
"06013351102",52.94,11.6,101,"","",0
"06013351103",56.09,14.4,92,"","",0
"06013351200",16.68,11.9,65,"","",0
"06013352101",28.94,14.9,38,63.66,0.0,1
"06013352102",28.69,13.0,71,"","",0
"06013352201",28.23,11.0,78,"","",0
"06013352202",34.27,14.4,59,69.23,6.9,3
"06013353001",25.92,12.6,57,"","",0
"06013353002",26.79,16.0,50,"","",0
"06013354001",17.59,19.2,28,"","",0
"06013354002",28.25,16.1,99,"","",0
"06013355107",81.09,6.4,105,"","",0
"06013355108",83.78,5.1,266,"","",0
"06013355109",82.41,2.9,118,54.71,0.0,1
"06013355110",80.0,3.1,99,67.5,0.0,1
"06013355111",83.33,4.8,130,"","",0
"06013355112",39.4,14.1,78,"","",0
"06013355113",44.06,8.1,92,"","",0
"06013355114",43.39,9.4,196,"","",0
"06013355115",46.45,6.8,148,2.43,0.0,1
"06013355116",49.75,7.2,141,"","",0
"06013355117",50.98,7.3,106,"","",0
"06013355200",83.97,7.1,281,"","",0
"06013355301",51.02,15.8,143,"","",0
"06013355302",33.3,12.4,35,"","",0
"06013355304",47.72,11.0,147,"","",0
"06013355306",46.42,15.9,99,"","",0
"06013356001",46.48,7.0,43,"","",0
"06013356002",60.12,16.5,97,"","",0
"06013357000",32.02,19.4,40,66.66,8.4,5
"06013358000",36.23,17.4,62,69.8,8.7,2
"06013359102",43.55,18.1,71,64.28,0.0,1
"06013359103",41.66,22.0,73,"","",0
"06013359104",75.34,11.7,69,0.86,0.0,1
"06013359105",64.17,11.2,125,"","",0
"06013359202",37.81,14.2,80,"","",0
"06013359203",56.32,15.7,121,"","",0
"06013359204",49.02,10.3,44,"","",0
"06013360101",46.84,16.5,84,"","",0
"06013360102",54.42,11.7,52,"","",0
"06013360200",45.32,16.2,59,67.21,0.0,1
"06013361000",49.57,20.4,53,33.33,0.0,1
"06013362000",37.81,15.9,49,"","",0
"06013363000",48.71,18.9,116,50.74,25.4,9
"06013364002",31.81,10.8,57,"","",0
"06013365002",85.18,11.0,80,"","",0
"06013365003",72.59,9.4,62,48.57,18.6,2
"06013366001",48.62,16.1,58,"","",0
"06013366002",51.22,19.6,80,"","",0
"06013367100",29.59,10.5,62,"","",0
"06013367200",44.23,28.4,80,38.46,0.0,1
"06013368001",59.06,14.1,59,"","",0
"06013368002",56.8,16.4,45,49.75,0.3,2
"06013369001",73.75,14.7,49,59.33,7.8,2
"06013369002",52.86,21.6,38,65.0,0.0,1
"06013370000",36.86,15.0,38,"","",0
"06013371000",33.32,16.7,80,58.75,20.3,10
"06013372000",35.16,17.0,120,64.93,11.7,3
"06013373000",41.35,18.7,33,"","",0
"06013374000",43.9,15.2,72,71.79,0.0,1
"06013375000",58.95,15.0,50,"","",0
"06013376000",76.76,10.7,59,"","",0
"06013377000",75.66,13.2,62,58.38,6.8,4
"06013378000",62.88,17.4,74,60.84,30.3,3
"06013379000",65.21,10.9,75,"","",0
"06013380000",67.39,15.8,175,60.0,21.8,3
"06013381000",55.59,14.7,64,"","",0
"06013382000",55.95,16.4,76,"","",0
"06013383000",40.0,15.3,56,6.58,0.0,1
"06013384000",24.63,15.0,67,"","",0
"06013385100",27.41,16.4,35,"","",0
"06013385200",17.47,11.6,16,"","",0
"06013386000",47.66,19.0,28,64.7,26.6,5
