"geo_id","med_sqft","count1","med_sqft_2014_sales","count2"
"06013306003",1257.5,1484,1187.0,44
"06013306004",1296.0,883,1519.5,18
"06013307101",1635.0,1325,1672.0,22
"06013307102",1224.0,1374,1226.5,24
"06013307201",1365.0,592,1312.0,20
"06013307202",925.0,822,925.0,24
"06013307204",1440.0,1409,1404.5,26
"06013307205",1256.0,1811,1278.5,32
"06013308001",1568.0,2468,1603.0,47
"06013308002",2091.0,1546,2151.5,32
"06013309000",1740.0,986,1793.0,11
"06013310000",1622.5,1442,1689.5,32
"06013311000",1260.0,1302,1608.0,21
"06013312000",1209.0,542,1520.0,7
"06013313101",1444.0,1712,1492.0,22
"06013313102",1499.0,1060,1634.0,19
"06013313103",1902.5,2212,1836.5,34
"06013313203",1420.0,1014,1430.0,12
"06013313204",1623.5,1370,1678.0,21
"06013313205",1386.0,530,1420.0,7
"06013313206",1248.0,1395,1248.0,23
"06013314102",1204.0,1508,1420.0,12
"06013314103",1400.0,1101,1359.0,14
"06013314104",1097.0,1688,1040.0,29
"06013314200",1151.5,1546,1164.0,21
"06013315000",1492.0,1206,1426.0,19
"06013316000",1596.0,161,2182.5,2
"06013317000",1369.0,645,1483.0,12
"06013318000",1436.0,1087,1196.0,29
"06013319000",1367.0,2478,1301.0,35
"06013320001",1252.0,1134,1068.0,11
"06013320003",1731.0,1048,1775.0,22
"06013320004",1554.0,2127,1726.0,50
"06013321101",1517.0,2303,1596.5,32
"06013321102",1694.0,2779,1784.5,54
"06013321103",1802.0,1650,1786.5,18
"06013321200",1351.5,1534,1438.0,23
"06013322000",1620.0,2232,1533.0,36
"06013323000",1408.0,1753,1274.0,33
"06013324001",1105.0,988,1105.0,17
"06013324002",1198.0,1409,1437.0,17
"06013325000",1606.0,1793,1601.0,28
"06013326000",1778.5,1280,1626.0,10
"06013327000",1089.0,1902,1084.0,38
"06013328000",816.0,243,661.0,4
"06013329000",1244.0,2041,1244.0,24
"06013330000",1221.0,1977,1200.0,53
"06013331000",1500.0,2169,1322.0,42
"06013332000",1434.0,2623,1405.5,48
"06013333101",1527.0,1342,1477.0,29
"06013333102",1718.0,1309,1460.0,15
"06013333200",1673.0,2057,1673.0,25
"06013334001",1337.5,1122,1160.0,18
"06013334004",1378.0,2347,1403.5,50
"06013334006",1765.0,1733,1842.0,27
"06013334200",2107.0,2351,2151.0,39
"06013335000",1256.0,1201,1186.5,12
"06013336101",1025.0,476,1020.0,9
"06013336102",1040.0,932,1066.0,13
"06013336201",1167.5,966,1159.5,20
"06013336202",1122.0,513,1380.0,7
"06013337100",2149.0,1046,1694.5,14
"06013337200",1266.0,2215,1089.0,34
"06013337300",1968.0,2027,2123.0,22
"06013338101",1086.0,1242,1298.0,21
"06013338102",1616.0,1393,1622.5,18
"06013338201",2052.0,1502,1644.5,24
"06013338203",1168.0,1736,1128.0,44
"06013338204",1457.0,2632,1537.0,35
"06013338301",2291.0,1057,2246.0,13
"06013338302",2050.0,2121,2076.0,22
"06013339001",1004.0,325,820.0,12
"06013339002",1077.0,1946,893.0,41
"06013340001",1557.5,1820,1407.0,28
"06013340002",1769.0,2861,1779.5,42
"06013341000",1691.0,1705,1365.0,17
"06013343001",1820.0,1562,1804.0,20
"06013343002",1722.0,1623,1466.0,26
"06013343003",2279.0,1369,1628.5,14
"06013345101",1648.0,1926,1317.0,27
"06013345102",1584.0,1377,1533.0,25
"06013345103",2013.0,1737,1842.0,23
"06013345105",1968.0,2160,1737.5,36
"06013345108",1851.0,3351,1778.0,77
"06013345111",1842.0,1706,2092.5,22
"06013345112",2717.0,1488,2731.0,32
"06013345113",2523.0,1526,2444.0,30
"06013345114",2023.0,2622,1946.0,47
"06013345115",2379.0,1731,3908.0,27
"06013345116",1965.0,950,2035.5,10
"06013345202",1753.0,2344,1463.0,42
"06013345203",2130.5,2364,1507.5,44
"06013345204",2820.0,1264,2337.0,12
"06013346101",2238.0,1327,2151.0,13
"06013346102",3265.5,2050,3401.0,35
"06013346201",2823.0,2578,2724.0,49
"06013346203",2237.0,1447,2382.0,28
"06013346204",2686.0,2480,2716.5,34
"06013347000",2521.0,2191,2747.5,38
"06013348000",2640.5,1660,2656.0,21
"06013349000",1947.0,1393,1693.0,22
"06013350000",2218.0,1633,1897.0,27
"06013351101",1272.0,2159,1446.0,47
"06013351102",1054.0,3047,907.0,34
"06013351103",1527.0,1509,1477.0,37
"06013351200",2072.0,2065,1857.5,28
"06013352101",2407.5,876,2719.0,14
"06013352102",2170.0,1874,2235.0,23
"06013352201",2037.0,2013,2130.0,34
"06013352202",1834.0,1014,2079.0,17
"06013353001",2287.0,1330,1630.5,18
"06013353002",2395.0,1508,2519.5,24
"06013354001",1999.0,721,1977.0,14
"06013354002",2847.5,2462,2577.0,49
"06013355107",2043.0,1671,2132.0,25
"06013355108",2501.0,3699,2085.0,57
"06013355109",2241.0,2107,2152.0,45
"06013355110",1813.0,1251,1904.0,29
"06013355111",2053.0,1939,1635.0,54
"06013355112",3178.0,1998,3054.5,40
"06013355113",3278.0,1728,3281.0,42
"06013355114",2543.0,3456,2393.0,62
"06013355115",2180.0,1097,1930.0,27
"06013355116",2993.0,2007,3148.0,25
"06013355117",2866.0,1961,3359.0,36
"06013355200",2234.0,2204,2506.0,39
"06013355301",1763.0,2837,1919.0,47
"06013355302",2538.0,1213,2845.0,10
"06013355304",1904.0,3025,1749.0,37
"06013355306",2089.0,1816,2032.0,37
"06013356001",1407.0,1122,1405.0,19
"06013356002",2020.5,1980,1143.0,24
"06013357000",1602.0,1085,1571.0,16
"06013358000",1447.0,1437,1629.0,25
"06013359102",1476.0,1551,1336.0,19
"06013359103",1426.0,1577,1210.0,21
"06013359104",1251.0,976,1126.0,24
"06013359105",1798.0,1559,1792.0,25
"06013359202",1617.0,2233,1621.0,33
"06013359203",1581.0,2282,1596.0,28
"06013359204",1963.0,1424,2134.0,11
"06013360101",1630.0,1631,1536.5,24
"06013360102",2167.0,1544,2051.0,15
"06013360200",1498.0,1369,1294.5,16
"06013361000",1459.0,1474,1367.0,19
"06013362000",1455.0,1149,1288.0,12
"06013363000",1421.0,2244,1188.0,37
"06013364002",1235.0,1588,1247.5,16
"06013365002",1396.5,1144,1295.0,32
"06013365003",1587.0,769,1545.0,14
"06013366001",1104.0,1104,1068.0,15
"06013366002",1121.0,1356,1121.0,18
"06013367100",1296.0,1261,1227.0,18
"06013367200",1112.0,1240,1061.0,16
"06013368001",1107.5,1024,1118.0,18
"06013368002",1062.0,707,1039.5,16
"06013369001",1136.0,1131,1110.0,24
"06013369002",1386.0,836,1549.5,16
"06013370000",1392.5,1056,1394.0,20
"06013371000",1154.0,1619,1363.0,23
"06013372000",1063.5,2074,1034.5,32
"06013373000",1075.5,874,1098.0,14
"06013374000",1244.0,1295,1247.5,18
"06013375000",1162.0,793,1966.5,20
"06013376000",1198.0,1287,1128.5,30
"06013377000",952.0,1430,1085.5,26
"06013378000",1602.5,1466,1620.5,22
"06013379000",1120.0,1486,1172.5,36
"06013380000",1015.0,2683,1349.5,42
"06013381000",1194.0,1507,1075.0,21
"06013382000",1363.0,1458,1197.0,20
"06013383000",1186.0,1576,1145.5,26
"06013384000",1680.0,1649,1331.5,16
"06013385100",2185.5,1154,1938.5,16
"06013385200",1764.0,577,1438.0,5
"06013386000",1332.0,696,1262.5,10
"06013387000",1302.0,813,1171.5,8
"06013388000",1274.0,831,1294.0,4
"06013389100",1279.0,611,1106.0,10
"06013389200",2072.0,259,2507.5,4
"06013390100",1700.0,934,1869.0,19
"06013390200",1378.5,774,1322.5,8
"06013391000",1930.5,1026,1853.0,14
"06013392000",1802.0,1079,1763.0,11
"06013392200",1428.0,2702,1396.0,51
"06013392300",2703.0,809,2418.0,9
"06013420100",1093.0,19,"",0
"06013420300",2968.0,1,"",0
"06013421200",1673.0,45,"",0
"06013421300",1718.0,3,"",0
"06013450200",1440.0,1,"",0
"06013450300",1874.0,13,"",0
"06013451101",1560.0,1,"",0
"06041101100",2415.0,1052,2432.0,9
"06041101200",1635.0,962,2565.0,23
"06041102100",2027.0,947,2178.0,16
"06041102202",1712.0,1954,1597.0,32
"06041102203",1532.0,1273,1612.0,15
"06041103100",1869.0,2665,1956.0,41
"06041103200",1542.0,1894,1324.0,24
"06041104101",1801.0,2606,1956.0,49
"06041104102",1320.0,1696,1323.0,31
"06041104200",1756.0,1996,1506.0,23
"06041104300",1935.0,700,1857.0,16
"06041105000",1758.0,1422,2188.0,26
"06041106001",1180.0,977,1107.0,31
"06041106002",1466.0,1964,1674.0,32
"06041107000",1770.5,2348,1701.0,36
"06041108100",1707.0,2472,1780.5,34
"06041108200",1742.0,1825,1446.0,29
"06041109001",1840.0,932,2056.5,18
"06041109002",1721.5,1324,1551.0,15
"06041110100",2042.0,1723,2290.0,32
"06041110200",2303.0,2222,2303.0,43
"06041111000",1518.5,1162,1120.0,21
"06041112100",1530.0,1281,1313.0,22
"06041112201",1032.0,381,1143.0,6
"06041112202",1344.0,926,1323.0,16
"06041113000",1500.0,1388,1630.0,11
"06041114100",1444.0,1870,1507.0,21
"06041114200",1530.5,1052,1620.0,17
"06041115000",1900.0,2605,2026.0,41
"06041116000",1530.0,1113,1490.0,11
"06041117000",1775.0,1497,1894.0,29
"06041118100",2664.5,832,3076.5,18
"06041119100",2526.0,1599,2399.0,28
"06041119201",1201.0,890,1268.0,21
"06041119202",2198.0,1279,2400.0,25
"06041120000",1898.0,2073,1861.5,44
"06041121100",1594.5,1804,1409.0,27
"06041121200",1562.0,1812,1733.0,22
"06041123000",2750.0,879,2601.0,19
"06041124100",2296.0,1780,2239.0,30
"06041124200",2392.0,2102,2361.0,59
"06041125000",2066.0,1103,2422.0,22
"06041126100",1849.0,2102,1844.0,33
"06041126200",1507.0,1508,1284.0,32
"06041127000",2069.0,1622,1981.0,23
"06041128100",1793.5,2422,1844.0,39
"06041128200",1844.0,1812,1709.0,34
"06041129000",1382.0,247,1553.0,7
"06041130201",1874.5,1350,1862.0,30
"06041130202",1440.0,1499,1596.0,29
"06041131100",1855.5,326,1498.0,8
"06041132100",1471.0,1317,1598.0,21
"06041132200",1474.0,996,1796.0,12
"06041133000",1600.0,1192,1880.5,12
"06041150702",5893.0,1,"",0
"06055",554.0,35,"",0
"06055001300",1680.0,3,"",0
"06055150100",2997.0,1,"",0
"06055150500",0.0,1,"",0
"06055152600",4072.0,1,"",0
"06055154100",1775.0,1,"",0
"06055200201",1316.0,961,1432.0,12
"06055200202",1224.0,598,1453.0,14
"06055200203",1049.0,599,1155.0,9
"06055200301",1200.0,1259,1176.0,16
"06055200302",1444.0,825,1568.0,9
"06055200400",1512.0,1377,1429.0,25
"06055200501",1080.0,1226,986.0,12
"06055200503",1032.0,490,1130.0,9
"06055200504",1285.0,1454,1334.5,22
"06055200505",1544.0,454,1602.0,4
"06055200601",1428.0,1574,1344.0,26
"06055200602",1576.0,1466,1461.0,24
"06055200703",2053.0,1190,1934.5,18
"06055200704",1245.0,1289,1352.5,22
"06055200705",1646.0,692,1390.5,6
"06055200706",1837.0,1160,1771.0,9
"06055200707",1626.5,892,1462.5,6
"06055200802",1485.0,1688,1279.0,27
"06055200803",1845.0,709,1497.0,8
"06055200804",1017.0,1142,1098.0,13
"06055200900",2452.0,1,"",0
"06055201003",2935.0,1041,2811.0,15
"06055201004",2126.0,1526,2219.5,24
"06055201005",1569.0,730,2335.5,8
"06055201006",1555.0,969,1477.5,16
"06055201007",1699.0,1120,1886.0,15
"06055201101",1953.0,828,2038.5,10
"06055201102",1568.0,783,1100.0,14
"06055201200",1324.0,1618,2105.0,16
"06055201300",1210.0,876,1658.0,16
"06055201401",1956.0,1855,2088.5,36
"06055201402",2108.0,1030,1908.0,14
"06055201403",1650.0,313,2272.5,2
"06055201500",1852.5,652,1746.5,14
"06055201601",1413.0,626,1409.5,12
"06055201602",1671.0,1311,1883.0,27
"06055201700",1785.5,1358,1870.0,30
"06055201800",1503.5,818,1608.0,17
"06055201900",1588.0,491,1908.0,7
