"geo_id","2004_Y","2004_N","2004_U","2005_Y","2005_N","2005_U","2006_Y","2006_N","2006_U","2007_Y","2007_N","2007_U","2008_Y","2008_N","2008_U","2009_Y","2009_N","2009_U","2010_Y","2010_N","2010_U","2011_Y","2011_N","2011_U","2012_Y","2012_N","2012_U","2013_Y","2013_N","2013_U","2014_Y","2014_N","2014_U"
"06001406400",6,3,0,0,0,0,288,88,0,365,110,1,362,114,1,58,29,1,340,125,1,346,128,3,334,139,2,341,135,0,0,0,0
"06001406500",6,1,0,0,0,0,506,258,0,665,328,0,650,350,0,106,76,6,604,373,2,609,391,6,602,401,1,595,413,0,0,0,0
"06001406601",13,1,0,0,0,0,591,260,0,753,327,1,745,347,0,132,71,5,694,355,2,700,384,6,689,400,0,691,399,0,0,0,0
"06001406602",6,0,0,0,0,0,185,132,0,256,167,1,266,170,1,45,31,2,250,169,3,261,176,4,258,182,1,258,182,1,0,0,0
"06001406700",10,2,0,0,0,0,1268,256,0,1512,314,2,1529,331,2,298,80,4,1446,338,4,1510,354,2,1502,367,4,1515,357,2,0,0,0
"06001406800",12,2,1,0,0,0,794,189,0,969,226,0,959,239,0,184,46,0,919,251,2,949,261,1,942,268,1,947,266,0,0,0,0
"06001406900",14,1,0,0,0,0,714,193,0,876,216,1,868,228,0,172,66,3,822,246,1,849,260,2,860,250,1,856,255,0,0,0,0
"06001407000",13,3,0,0,0,0,691,304,0,874,368,1,845,407,1,142,83,10,805,423,3,818,433,14,786,478,2,783,482,1,0,0,0
"06001407101",3,1,0,0,0,0,257,150,0,342,186,0,334,203,0,59,58,6,316,207,3,316,215,5,317,219,0,320,217,0,0,0,0
"06001407102",9,3,0,0,0,0,577,172,1,744,216,0,733,236,0,147,49,4,702,244,2,715,249,6,707,262,1,702,268,0,0,0,0
"06001407200",4,1,0,0,0,0,397,235,0,544,275,0,527,303,0,98,74,6,477,341,3,479,354,10,476,370,1,469,377,0,0,0,0
"06001407300",1,3,0,0,0,0,190,113,0,276,131,0,266,141,0,60,30,5,244,145,3,248,158,3,234,170,3,236,172,0,0,0,0
"06001407400",6,1,0,0,0,0,309,148,0,422,199,0,398,228,0,85,55,9,371,245,2,371,254,3,358,265,5,354,275,0,0,0,0
"06001407500",8,6,0,0,0,0,279,149,0,416,193,0,398,250,0,84,78,11,343,280,4,339,306,4,335,312,2,323,326,0,0,0,0
"06001407600",17,4,0,0,0,0,734,270,0,1035,368,0,1007,417,0,208,100,16,928,448,5,949,465,10,951,471,1,950,475,0,0,0,0
"06001407700",25,5,1,0,0,0,1007,187,0,1356,261,1,1348,285,1,252,82,8,1279,301,2,1320,313,4,1307,322,9,1310,327,1,0,0,0
"06001407800",3,3,0,0,0,0,392,106,1,510,129,0,503,134,0,88,23,4,484,135,2,493,139,4,492,143,1,486,150,0,0,0,0
"06001407900",13,2,1,0,0,0,654,135,0,839,187,0,830,196,1,169,43,3,785,209,1,808,217,3,820,207,0,819,208,0,0,0,0
"06001408000",11,1,0,0,0,0,723,85,0,834,107,5,834,111,5,197,17,2,785,124,7,818,130,7,815,137,5,822,133,5,0,0,0
"06001408100",17,0,1,0,0,0,1425,221,1,1826,610,11,1984,597,13,470,262,19,1974,532,20,2075,542,31,2095,565,20,2144,557,14,0,0,0
"06001408200",16,2,0,0,0,0,627,190,0,879,268,0,850,306,0,178,89,10,801,314,5,812,339,10,788,365,9,770,390,0,0,0,0
"06001408300",26,4,0,0,0,0,904,187,0,1194,305,2,1172,336,2,267,111,9,1097,355,10,1130,371,11,1137,371,7,1141,375,3,0,0,0
"06001408400",16,1,0,0,0,0,421,183,0,610,273,0,576,311,0,132,96,17,506,347,5,508,373,7,462,423,2,444,443,0,0,0,0
"06001408500",13,7,1,0,0,0,582,192,2,893,300,0,838,362,2,182,133,17,730,432,3,738,471,5,696,516,1,687,529,0,0,0,0
"06001408600",17,7,0,0,0,0,681,267,0,992,349,0,943,406,1,229,128,18,812,483,8,805,537,10,767,580,7,778,576,0,0,0,0
"06001408700",12,5,0,0,0,0,841,324,0,1192,436,0,1138,520,1,243,145,26,1015,576,4,1007,641,9,976,674,7,966,691,0,0,0,0
"06001408800",9,2,0,0,0,0,406,156,1,603,220,0,574,260,0,124,95,10,486,306,7,480,345,10,468,366,2,462,373,0,0,0,0
"06001408900",8,2,0,0,0,0,265,114,0,396,184,0,365,229,0,99,71,10,333,239,7,330,256,7,310,281,3,310,283,0,0,0,0
"06001409000",13,0,0,0,0,0,469,162,0,692,204,3,658,246,2,155,82,7,600,271,8,596,303,5,574,330,1,584,321,0,0,0,0
"06001409100",2,1,0,0,0,0,301,95,0,484,124,6,456,157,2,91,60,11,417,182,1,413,196,6,372,241,2,405,209,1,0,0,0
"06001409200",4,6,0,0,0,0,383,119,1,534,178,1,516,228,1,111,62,12,485,237,3,487,255,3,495,279,1,492,283,0,0,0,0
